Year,Make,Model,Class,Drive,Transmission,Engine Cylinders,Engine Index,Engine Displacement,Turbocharger,Supercharger,Fuel Type,Combined MPG,City MPG,Highway MPG,Annual Fuel Cost
2002,GMC,Yukon XL 1500 4WD,Sport Utility Vehicle - 4WD,4-Wheel or All-Wheel Drive,Automatic 4-Speed,8,0,5.3,No,No,Regular Gasoline,14,13,17,2900
2002,GMC,Yukon XL 1500 AWD,Sport Utility Vehicle - 4WD,4-Wheel or All-Wheel Drive,Automatic 4-Speed,8,0,5.3,No,No,Regular Gasoline,14,13,17,1650
2002,Chevrolet,Cavalier Dual-fuel,Subcompact Cars,Front-Wheel Drive,Automatic 4-Speed,4,0,2.2,No,No,Regular Gasoline,24,21,29,1650
2002,Chrysler,Sebring Convertible,Compact Cars,Front-Wheel Drive,Automatic 4-Speed,6,0,2.7,No,No,Regular Gasoline,21,19,26,2200
2002,Chrysler,Sebring Convertible,Compact Cars,Front-Wheel Drive,Automatic 4-Speed,6,0,2.7,No,No,Regular Gasoline,21,19,25,2200
2002,Chrysler,Sebring 4 Door,Midsize Cars,Front-Wheel Drive,Automatic 4-Speed,6,0,2.7,No,No,Regular Gasoline,21,19,25,2200
2002,Dodge,Stratus 4 Door,Midsize Cars,Front-Wheel Drive,Automatic 4-Speed,6,0,2.7,No,No,Regular Gasoline,21,19,25,2200
2002,Chrysler,Sebring 4 Door,Midsize Cars,Front-Wheel Drive,Automatic 4-Speed,6,0,2.7,No,No,Regular Gasoline,21,19,26,2900
2002,Dodge,Stratus 4 Door,Midsize Cars,Front-Wheel Drive,Automatic 4-Speed,6,0,2.7,No,No,Regular Gasoline,21,19,26,2350
2002,Ford,Explorer Sport Trac 2WD FFV,Standard Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 5-Speed,6,0,4,No,No,Regular Gasoline,16,14,20,2900
2003,Ford,Explorer Sport Trac 4WD FFV,Standard Pickup Trucks 4WD,4-Wheel or All-Wheel Drive,Automatic 5-Speed,6,0,4,No,No,Regular Gasoline,16,14,19,2350
2003,Ford,Explorer 4WD FFV,Sport Utility Vehicle - 4WD,4-Wheel or All-Wheel Drive,Automatic 5-Speed,6,0,4,No,No,Regular Gasoline,16,14,19,1750
2003,Ford,Explorer 2WD FFV,Sport Utility Vehicle - 2WD,Rear-Wheel Drive,Automatic 5-Speed,6,0,4,No,No,Regular Gasoline,16,14,20,1850
2003,Mercury,Mountaineer 2WD FFV,Sport Utility Vehicle - 2WD,Rear-Wheel Drive,Automatic 5-Speed,6,0,4,No,No,Regular Gasoline,16,14,20,2900
2003,Mercedes-Benz,C240 FFV,Compact Cars,Rear-Wheel Drive,Automatic 5-Speed,6,0,2.6,No,No,Premium Gasoline,20,17,23,2900
2003,Mercedes-Benz,C320 FFV,Compact Cars,Rear-Wheel Drive,Automatic 5-Speed,6,0,3.2,No,No,Premium Gasoline,20,18,24,2350
